"","record","uuid","date","markers","status","D1","D2","H1","H2","vlist","qtime","vos","vosr15oe","vbrowser","vbrowserr15oe","vmobiledevice","vmobileos","start_date","testing","decLang","list","userAgent","dcua","session","source","url","HidQTest","QRACE","QRACEr5oe","S2","H3","H3A","R1","D103","H5","D109","D110","H4","T1","H1A","H5A","Z1","D111","D107","AGE2","EDU2","nweight","Q1","Q2","Q3","Q4","Q5","F1r1","F1r2","F1r3","F1r4","F1r5","F1r6","Q6","Q7r1","Q7r2","Q7r3","Q7r4","Q8","Q8r10oe","Q9","Q10","Q11r1","Q11r2","Q11r3","Q11r4","Q11r5","Q12","Q12X","Q13","Q14r1","Q14r2","Q14r3","Q14r4","Q14r5","Q14r6","Q14r7","Q14r8","Q15","Q16r1","Q16r2","Q16r3","Q16r4","Q16r5","Q16r6","Q16r7","Q16r8","Q17","Q17X","Q18r1","Q18r2","Q18r3","Q18r4","Q18r5","Q18r6","Q19","Q20r1","Q20r2","Q20r3","Q20r4","Q20r5","Q21r1","Q21r2","Q21r3","Q21r4","Q22","Q23","Q24r1","Q24r2","D101","conditionsmarker_Q18B","conditionsmarker_Q18A","PID"
"11",132,"hnsus39cr9r58fkk","11/13/2018 15:57","/TOTAL/CINT,/Gender/xJAGz,/Age/ySjbx,/GenderAge/YZ8P3,/Race/FIYZ",3,2,33,1,2,1,1210.94,14,"",10,"",1,2,"11/13/2018 15:37","","","114","Mozilla/5.0 (Linux; Android 7.1.1; SAMSUNG-SM-J320AZ Build/NMF26X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/68.0.3440.91 Mobile Safari/537.36","sa","smrjydsdvr7e2fcx","","/survey/selfserve/53d/181153?state=f5bb80b2616b415265fdb08a4520122c5d3d830eQ0003QGI00000475",3,1,"",18,6,3,1,3,2,3,1,2,4,5,2,"41001",3,3,2,2,0.01,3,2,3,4,3,6,4,6,4,5,4,3,4,3,3,3,11,"",3,2,2,2,2,5,1,1,3,6,3,1,1,1,1,4,1,1,4,4,5,5,5,2,2,5,1,1,2,NA,1,2,1,1,1,1,4,4,4,4,4,4,4,4,4,1,5,1,4,9,1,0,"1caf15e7-e704-0aa7-981e-2384ce153636"
"12",681,"uuksvr1j52utyjpt","11/13/2018 15:57","/TOTAL/CINT,/Gender/xJAGz,/Age/G6sOE,/GenderAge/oBHBm,/Race/FIYZ",3,2,52,3,3,1,362.28,5,"",12,"",5,6,"11/13/2018 15:51","","","114","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0) Gecko/20100101 Firefox/63.0","..","4ajdsj6tkshqzag5","","/survey/selfserve/53d/181153?state=dee2d5f33dadb73044ae597191e7fc3bc05610a3Q000YCX60000040e",3,1,"",33,2,1,1,8,3,1,5,1,4,7,1,"10016",5,1,3,4,0.01,1,4,5,3,3,2,4,4,1,4,1,1,1,1,1,1,1,"",1,1,3,3,2,2,2,2,NA,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,4,1,NA,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,4,5,2,1,0,1,"f38d39d3-fedf-d59f-ba2a-0fa60b336a00"
"13",514,"6f50vdh4zxwsfcwg","11/13/2018 15:57","/TOTAL/CINT,/Gender/xJAGz,/Age/ySjbx,/GenderAge/YZ8P3,/Race/FIYZ",3,2,33,1,2,1,551.08,12,"",11,"",1,1,"11/13/2018 15:48","","","114","Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1","si","3e67g3m89q6h3gam","","/survey/selfserve/53d/181153?state=95b53d5ee0d431d7b3e47996dabc5c451153106eQ000L2M400000481",3,1,"",23,3,2,1,6,3,12,2,2,4,5,7,"48009",3,1,2,4,0.01,2,2,2,3,3,6,6,6,5,5,6,3,3,3,2,3,2,"",2,2,1,2,1,1,2,1,2,6,3,3,3,3,3,3,3,3,4,2,5,2,5,2,2,2,2,2,2,1,NA,1,1,1,1,5,5,5,5,5,5,5,5,5,5,2,5,2,3,9,0,1,"b060bb9b-229a-53a6-5762-8d4bfdf9f74d"
"14",702,"w1cyg67uun76tm9f","11/13/2018 15:58","/TOTAL/CINT,/Gender/xJAGz,/Age/ySjbx,/GenderAge/YZ8P3,/Race/FIYZ",3,2,33,1,2,1,387.38,13,"",10,"",5,6,"11/13/2018 15:51","","","114","Mozilla/5.0 (X11; CrOS x86_64 11021.56.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.76 Safari/537.36","..","qagz0a2ak7t8bw3d","","/survey/selfserve/53d/181153?state=6812248567b71541bda12a88c82676eba85eaa72Q000YEB300000440",3,1,"",18,6,3,1,4,2,3,1,2,4,5,2,"41501",1,3,2,3,0.01,5,1,1,3,2,4,4,1,4,1,4,4,4,4,4,4,2,"",4,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,4,4,4,1,4,1,1,1,1,1,1,NA,1,2,1,1,1,1,4,4,4,4,4,4,4,4,4,1,1,1,4,3,1,0,"295c56b4-6cc7-ba44-6b4d-607713c77c68"
"15",719,"c0jn06tve46e7a8c","11/13/2018 15:58","/TOTAL/CINT,/Gender/xJAGz,/Age/xZE0a,/GenderAge/aMoPc,/Race/FIYZ",3,2,44,2,3,1,378.15,4,"",10,"",5,6,"11/13/2018 15:52","","","114","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","..","j77j0301z9q0sc5m","","/survey/selfserve/53d/181153?state=9071c21d0f380a464fd9a4558cc6d65bf2dee7bfQ0010P7J0000043a",3,1,"",14,3,2,1,6,3,3,5,1,4,6,2,"62010",3,1,2,4,0.01,4,2,4,2,1,1,3,3,6,6,1,3,1,1,2,2,1,"",1,3,1,1,3,1,4,2,NA,2,2,2,2,2,2,2,2,2,2,2,1,3,1,4,4,3,2,3,1,NA,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,4,3,2,3,1,1,0,"1ac3e4a5-5dd7-09e3-f45c-d2e8ced88876"
"16",743,"rtarb86v303evxrj","11/13/2018 15:59","/TOTAL/CINT,/Gender/xJAGz,/Age/ySjbx,/GenderAge/YZ8P3,/Race/FIYZ",3,2,19,1,1,1,405.89,12,"",13,"",1,1,"11/13/2018 15:52","","","114","Mozilla/5.0 (iPhone; CPU iPhone OS 12_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16A405","si","1vbnnh40q2tv3804","","/survey/selfserve/53d/181153?state=d145dadc00c39bef783ad8f6600616d4fee94647Q0012ZRB0000042c",3,1,"",10,5,3,1,5,2,1,2,2,4,5,1,"33544",2,2,1,3,0.01,4,3,4,2,2,4,3,6,5,6,3,3,2,3,2,3,3,"",4,2,1,1,2,1,2,1,1,3,1,3,1,1,1,1,2,2,3,3,3,2,3,1,1,1,2,2,2,NA,1,1,1,2,1,1,3,4,3,2,3,4,3,3,4,2,2,2,3,8,1,0,"ddc17b38-7bbb-9699-f6c1-4dea70956fe8"
"17",618,"9jpht8w70y710fft","11/13/2018 16:00","/TOTAL/CINT,/Gender/xJAGz,/Age/xZE0a,/GenderAge/aMoPc,/Race/FIYZ",3,2,42,2,3,1,649.54,14,"",10,"",1,2,"11/13/2018 15:50","","","114","Mozilla/5.0 (Linux; Android 7.0; LG-M210) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.80 Mobile Safari/537.36","sa","nf8vu7j0jwyte40g","","/survey/selfserve/53d/181153?state=5329b7a46b24c6123c24de6a7ebc7ae83d4b2278Q000RMT40000032d",3,1,"",10,5,3,1,3,2,3,4,1,4,6,2,"32224",4,3,2,2,0.01,2,3,2,2,2,2,1,3,2,2,2,2,2,2,3,2,2,"",3,3,3,1,2,1,1,1,3,3,3,3,3,3,3,3,3,3,4,2,1,3,2,2,1,2,3,1,1,1,NA,1,1,1,1,6,3,3,5,5,5,5,5,5,5,3,5,5,5,6,0,1,"87c0930d-29ac-7ddc-f7f4-a5eba6a6badd"
"18",616,"7zczd0d0xcarr2jh","11/13/2018 16:01","/TOTAL/CINT,/Gender/xJAGz,/Age/xZE0a,/GenderAge/aMoPc,/Race/FIYZ",3,2,38,2,3,1,681.1,14,"",10,"",1,2,"11/13/2018 15:50","","","114","Mozilla/5.0 (Linux; Android 6.0.1; Z981) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.80 Mobile Safari/537.36","sa","he792xuzqtd7ye7j","","/survey/selfserve/53d/181153?state=3995b3cdf0f439e369d3ed17d6fc6f246ca1f380Q000SH1Q00000493",3,1,"",1,6,3,1,5,2,3,5,1,4,6,2,"35042",4,3,2,3,0.01,1,1,2,2,2,1,1,2,1,2,1,1,1,1,2,1,1,"",2,2,1,1,1,2,1,1,2,3,2,2,4,2,2,4,2,4,3,1,1,4,2,2,2,2,4,2,1,1,NA,1,1,1,2,5,1,4,3,2,3,1,1,3,3,4,5,2,3,1,0,1,"0c386878-5686-8697-0f81-5e136f6dc2a2"
"19",705,"y9jesyjjbbeswk9k","11/13/2018 16:01","/TOTAL/CINT,/Gender/yaxdo,/Age/ySjbx,/GenderAge/k73Ap,/Race/FIYZ",3,1,30,1,2,1,603.54,14,"",10,"",1,2,"11/13/2018 15:51","","","114","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/7.4 Chrome/59.0.3071.125 Mobile Safari/537.36","sa","6efeuduvr9vq0rtu","","/survey/selfserve/53d/181153?state=8dc576a30823d29f20841eb54ee28ae9df093169Q000ZA230000033f",3,1,"",5,9,4,1,6,3,12,6,4,4,1,7,"90211",3,1,2,4,0.01,3,5,2,2,1,6,3,3,6,3,3,2,2,2,3,2,11,"",3,3,2,2,3,2,2,1,2,6,1,3,3,1,2,4,4,2,3,3,2,2,5,2,2,2,2,1,1,NA,1,1,1,1,1,5,2,3,3,2,2,3,2,2,3,2,2,5,5,1,1,0,"6e974e98-f2be-a21f-a061-78bce5bf6a4b"
"20",894,"ky6qxsj40vhugdea","11/13/2018 16:02","/TOTAL/CINT,/Gender/xJAGz,/Age/ySjbx,/GenderAge/YZ8P3,/Race/FIYZ",3,2,19,1,1,1,388.97,13,"",10,"",5,6,"11/13/2018 15:56","","","114","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","..","g7mzn7vjw00g1heh","","/survey/selfserve/53d/181153?state=ccb07473928fa892ee5aee96803e510bf3995052Q001MH230000042c",3,1,"",15,3,2,1,3,2,1,1,2,4,5,1,"46037",1,1,1,2,0.01,4,3,3,2,3,4,4,4,4,4,3,3,1,4,3,4,2,"",4,4,1,1,1,1,1,2,NA,4,1,1,1,1,1,1,1,1,3,4,1,1,4,1,1,1,1,1,2,1,NA,2,1,1,1,1,4,2,4,2,3,4,4,4,4,1,4,1,4,8,0,1,"ce7f39ca-a308-cf87-4833-0f540f024a1a"
"21",648,"tdsuevpg77spmdq8","11/13/2018 16:03","/TOTAL/CINT,/Gender/yaxdo,/Age/ySjbx,/GenderAge/k73Ap,/Race/FIYZ",3,1,33,1,2,1,761.86,13,"",10,"",5,6,"11/13/2018 15:51","","","114","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","..","1786vh69qb2205bx","","/survey/selfserve/53d/181153?state=08c3a0687a93188885f3b00f9bef3ae328d7992cQ000VWJN0000030a",3,1,"",11,5,3,1,6,3,3,1,2,4,1,2,"30088",3,2,2,4,0.01,5,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,6,"",4,1,1,1,1,1,1,2,NA,3,3,4,4,2,1,3,1,3,3,3,4,2,4,1,4,5,2,3,3,NA,2,1,2,2,2,1,5,5,5,5,5,5,5,5,5,5,5,1,4,8,1,0,"9836000b-5479-efc1-01f2-361dc068c1d8"
"22",617,"y2apuktrdzkf3hvy","11/13/2018 16:04","/TOTAL/CINT,/Gender/xJAGz,/Age/xZE0a,/GenderAge/aMoPc,/Race/FIYZ",3,2,46,2,3,1,879.73,12,"",11,"",3,1,"11/13/2018 15:50","","","114","Mozilla/5.0 (iPad; CPU OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1","ti","8tm61qremjktspnc","","/survey/selfserve/53d/181153?state=100e3a8d36381c1cefc44d3c5aaa7a114a0aefcbQ000SWWR00000444",3,1,"",26,4,2,1,7,3,2,2,2,4,6,2,"64111",3,3,3,4,0.01,3,4,5,4,3,5,5,5,5,5,4,4,3,3,3,3,11,"",3,2,2,2,3,2,4,1,3,2,1,1,3,3,3,3,1,3,3,5,5,5,5,5,5,5,5,1,1,1,NA,2,1,2,1,1,4,4,4,4,4,4,4,4,4,2,2,1,4,1,0,1,"fa764600-8a5b-a8f6-41f9-705d785263d2"
"23",230,"0qekykktwv4srpy2","11/13/2018 16:05","/TOTAL/CINT,/Gender/xJAGz,/Age/xZE0a,/GenderAge/aMoPc,/Race/FIYZ",3,2,41,2,3,1,1364.06,12,"",11,"",1,1,"11/13/2018 15:42","","","114","Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1","si","jse33gmdcft76r5z","","/survey/selfserve/53d/181153?state=e67104bc5e4c9bbcf6fbb33d31f0bd475e4bff01Q0008HX100000480",3,1,"",44,7,3,1,6,3,2,2,2,4,6,2,"78257",4,2,2,4,0.01,4,2,3,2,2,2,2,6,2,6,3,3,2,1,3,3,11,"",3,2,2,2,2,2,2,1,1,3,1,1,1,1,1,1,1,1,2,1,1,4,1,4,4,4,3,2,2,1,NA,1,1,1,1,6,5,5,5,3,5,4,4,4,4,3,4,2,3,9,0,1,"c2bfcbde-6f92-2b03-8827-fd94e389be03"
"24",913,"37kdjhfazby1gsy4","11/13/2018 16:05","/TOTAL/CINT,/Gender/xJAGz,/Age/ySjbx,/GenderAge/YZ8P3,/Race/FIYZ",3,2,31,1,2,1,483.78,14,"",10,"",1,2,"11/13/2018 15:57","","","114","Mozilla/5.0 (Linux; Android 7.0; 5049Z Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36","sa","t6e4d32ekcvwnz2f","","/survey/selfserve/53d/181153?state=d317d021c2546b6d1f3ea0eaab828a749be90721Q001R95Y00000306",3,1,"",39,2,1,1,4,2,1,4,1,4,5,1,"18706",3,1,2,3,0.01,4,3,3,2,2,3,6,3,6,6,3,3,2,3,3,3,11,"",3,3,1,1,1,1,1,1,2,3,1,1,2,1,1,1,1,2,3,2,2,2,3,1,2,2,1,2,2,NA,2,2,2,2,2,6,3,4,4,2,4,3,3,3,4,1,5,2,5,4,1,0,"fa40769e-ecab-80d0-7767-406b38a9e447"
"25",947,"xhsqmnpac77s22bf","11/13/2018 16:05","/TOTAL/CINT,/Gender/xJAGz,/Age/ySjbx,/GenderAge/YZ8P3,/Race/FIYZ",3,2,19,1,1,1,402.21,12,"",13,"",1,1,"11/13/2018 15:59","","","114","Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E216","si","52h5d5c06fgk8k4f","","/survey/selfserve/53d/181153?state=8c0d5c65dcec8c56e43e35e4c7b69688b07d9064Q001WTSH0000030f",3,1,"",14,3,2,1,3,2,1,1,2,4,5,1,"62960",2,3,1,2,0.01,4,1,2,2,1,4,4,1,4,1,4,4,2,4,4,4,5,"",4,2,1,3,1,1,1,1,3,4,1,1,1,1,1,1,1,2,4,2,4,1,1,1,1,1,1,1,1,NA,2,1,2,1,2,1,4,4,4,4,4,4,4,4,4,1,1,1,4,2,1,0,"0943c1a3-66e4-3bca-745a-f76890927d73"
